colocar,1. tr. Poner a alguien o algo en su debido lugar. U. t. c. prnl.
colorear,1. tr. Dar color a una cosa o teñirla.
columpiar,1. tr. Impulsar a quien está sobre un columpio. U. t. c. prnl.
combar,"1. tr. Torcer, encorvar algo, como la madera o el hierro. U. t. c. prnl."
comenzar,1. tr. empezar (‖ dar principio).
comer,1. tr. Masticar y deglutir un alimento sólido. U. t. c. intr.
comerciar,1. intr. Dedicarse a la compraventa o el intercambio de bienes o servicios.
compadecer,1. tr. Sentir lástima o pena por la desgracia o el sufrimiento ajenos. Te compadezco. Compadecemos vuestras desdichas. U. m. c. prnl. Compadecerse de alguien.
comparar,1. tr. Analizar con atención una cosa o a una persona para establecer sus semejanzas o diferencias con otra. Compara tu situación actual con la que tenías hace unos años.
completar,1. tr. Añadir a una magnitud o cantidad las partes que le faltan.
complicar,1. tr. Mezclar o unir cosas diversas entre sí.
componer,"1. tr. Formar de varias cosas una, juntándolas y colocándolas con cierto modo y orden."
comprar,1. tr. Obtener algo por un precio.
comprender,"1. tr. Abrazar, ceñir o rodear por todas partes algo."
comprometer,"1. tr. Poner de común acuerdo en manos de un tercero la determinación de la diferencia, pleito, etc., sobre que se contiende. U. t. c. prnl."
computar,"1. tr. Contar o calcular algo numéricamente, p. ej., los años, el tiempo o la edad."
comunicar,1. tr. Hacer a una persona partícipe de lo que se tiene.
conceder,"1. tr. Dar, otorgar, hacer merced y gracia de algo."
